what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901647939
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901650121
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901650609
started,bundle,org.eclipse.ocl,3.0.1.R30x_v201008251030,"org.eclipse.ocl",1392901660891
started,bundle,org.eclipse.ocl.ecore,3.0.1.R30x_v201008251030,"org.eclipse.ocl.ecore",1392901660920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1392901667736
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1392901677270
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1392901690101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901704754
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901707036
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392901708821
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1392901713645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901721594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901782802
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901785883
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1392901799102
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901801410
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901804190
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392901809620
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1392901817681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901823695
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901825831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901829227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901830198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901833839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901834070
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901834102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901842721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901845915
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901847046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901856728
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392901862828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901876459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901876758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901876776
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901879306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901883436
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901885802
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901886287
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392901890243
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901892046
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392901907072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901915243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901975420
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901983353
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392901986669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901987656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901987876
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901987895
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392901989296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392901989664
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901991039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392901999536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902004145
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902011176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902025225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902036007
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1392902039777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392902043681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902044366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902057439
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1392902060273
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1392902068788
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392902071458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902073751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902077521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902081597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902085005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392902086586
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902094838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902104371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902105714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902107200
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392902110442
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1392902117307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902124893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902126798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902132820
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902144981
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392902148926
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1392902150876
started,bundle,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.ui",1392902151950
started,bundle,org.eclipse.emf.codegen.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.codegen.ecore",1392902153641
started,bundle,org.eclipse.emf.codegen,2.6.0.v20100914-1218,"org.eclipse.emf.codegen",1392902153804
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1392902154210
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1392902154231
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902165648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392902176502
started,bundle,org.eclipse.emf.mint,0.9.0.v201006142335,"org.eclipse.emf.mint",1392902192441
started,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1392902192444
